encoder,dataset,model,event,tournament_wins,net_precedence,predicted_rank,true_rank
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t6,1,-0.4023,5,6
crossencoder,aep_causal_wf_v3,e5-large-v2,t1,5,0.0,1,1
crossencoder,aep_causal_wf_v3,e5-large-v2,t2,4,0.0,2,2
crossencoder,aep_causal_wf_v3,e5-large-v2,t3,3,0.0,3,3
crossencoder,aep_causal_wf_v3,e5-large-v2,t4,2,0.0,4,4
crossencoder,aep_causal_wf_v3,e5-large-v2,t5,1,0.0,5,5
crossencoder,aep_causal_wf_v3,e5-large-v2,t6,0,0.0,6,6
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t1,3,0.1797,3,1
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t2,0,-1.4658,6,2
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t3,2,0.1855,4,3
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t4,5,1.2676,1,4
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t5,4,0.6777,2,5
crossencoder,aep_causal_wf_v3,bge-base-en-v1.5,t6,1,-0.8447,5,6
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t1,2,0.0156,5,1
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t2,0,-0.6563,6,2
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t3,5,0.3125,1,3
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t4,2,0.1172,3,4
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t5,4,0.1484,2,5
crossencoder,aep_causal_wf_v3,bge-large-en-v1.5,t6,2,0.0625,4,6
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t1,5,0.0,1,1
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t2,4,0.0,2,2
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t3,3,0.0,3,3
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t4,2,0.0,4,4
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t5,1,0.0,5,5
crossencoder,ajo_doc_not_tier1,deberta-v3-large,t6,0,0.0,6,6
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t1,1,-0.9668,5,1
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t2,1,-1.737,6,2
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t3,2,0.046,4,3
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t4,5,1.69,1,4
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t5,4,0.6307,2,5
crossencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t6,2,0.3371,3,6
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t1,3,-0.6443,4,1
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t2,3,0.7314,2,2
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t3,3,0.2813,3,3
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t4,1,-0.7032,5,4
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t5,5,1.0083,1,5
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t6,0,-0.6735,6,6
crossencoder,ajo_doc_not_tier1,e5-large-v2,t1,5,0.0039,1,1
crossencoder,ajo_doc_not_tier1,e5-large-v2,t2,3,0.0,3,2
crossencoder,ajo_doc_not_tier1,e5-large-v2,t3,2,-0.002,4,3
crossencoder,ajo_doc_not_tier1,e5-large-v2,t4,2,-0.002,5,4
crossencoder,ajo_doc_not_tier1,e5-large-v2,t5,0,-0.0039,6,5
crossencoder,ajo_doc_not_tier1,e5-large-v2,t6,3,0.0039,2,6
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t1,0,-0.5855,6,1
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t2,2,-0.7559,5,2
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t3,3,0.6115,2,3
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t4,2,0.0143,4,4
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t5,5,0.8016,1,5
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t6,3,-0.0859,3,6
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t1,5,0.0,1,1
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t2,4,0.0,2,2
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t3,3,0.0,3,3
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t4,2,0.0,4,4
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t5,1,0.0,5,5
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t6,0,0.0,6,6
crossencoder,ajo_newstyle,deberta-v3-large,t1,3,0.0,2,1
crossencoder,ajo_newstyle,deberta-v3-large,t2,2,0.0,4,2
crossencoder,ajo_newstyle,deberta-v3-large,t3,1,-0.0,5,3
crossencoder,ajo_newstyle,deberta-v3-large,t4,5,0.0001,1,4
crossencoder,ajo_newstyle,deberta-v3-large,t5,1,-0.0001,6,5
crossencoder,ajo_newstyle,deberta-v3-large,t6,3,-0.0,3,6
crossencoder,ajo_newstyle,all-mpnet-base-v2,t1,3,-0.0137,4,1
crossencoder,ajo_newstyle,all-mpnet-base-v2,t2,1,-0.7539,6,2
crossencoder,ajo_newstyle,all-mpnet-base-v2,t3,4,0.4258,1,3
crossencoder,ajo_newstyle,all-mpnet-base-v2,t4,1,-0.4004,5,4
crossencoder,ajo_newstyle,all-mpnet-base-v2,t5,3,0.2969,3,5
crossencoder,ajo_newstyle,all-mpnet-base-v2,t6,3,0.4453,2,6
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t1,1,-0.1641,6,1
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t2,5,0.3672,1,2
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t3,4,0.1074,2,3
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t4,1,-0.0938,4,4
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t5,3,-0.1113,3,5
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,t6,1,-0.1055,5,6
crossencoder,ajo_newstyle,e5-large-v2,t1,5,0.0,1,1
crossencoder,ajo_newstyle,e5-large-v2,t2,4,0.0,2,2
crossencoder,ajo_newstyle,e5-large-v2,t3,3,0.0,3,3
crossencoder,ajo_newstyle,e5-large-v2,t4,2,0.0,4,4
crossencoder,ajo_newstyle,e5-large-v2,t5,1,0.0,5,5
crossencoder,ajo_newstyle,e5-large-v2,t6,0,0.0,6,6
crossencoder,ajo_newstyle,bge-base-en-v1.5,t1,3,-0.0137,4,1
crossencoder,ajo_newstyle,bge-base-en-v1.5,t2,5,0.2832,1,2
crossencoder,ajo_newstyle,bge-base-en-v1.5,t3,1,-0.1934,5,3
crossencoder,ajo_newstyle,bge-base-en-v1.5,t4,0,-0.2754,6,4
crossencoder,ajo_newstyle,bge-base-en-v1.5,t5,3,0.1543,2,5
crossencoder,ajo_newstyle,bge-base-en-v1.5,t6,3,0.0449,3,6
crossencoder,ajo_newstyle,bge-large-en-v1.5,t1,5,0.0,1,1
crossencoder,ajo_newstyle,bge-large-en-v1.5,t2,4,0.0,2,2
crossencoder,ajo_newstyle,bge-large-en-v1.5,t3,3,0.0,3,3
crossencoder,ajo_newstyle,bge-large-en-v1.5,t4,2,0.0,4,4
crossencoder,ajo_newstyle,bge-large-en-v1.5,t5,1,0.0,5,5
crossencoder,ajo_newstyle,bge-large-en-v1.5,t6,0,0.0,6,6
crossencoder,new_aep_wf_scrap,deberta-v3-large,t1,5,0.0005,1,1
crossencoder,new_aep_wf_scrap,deberta-v3-large,t2,0,-0.0005,6,2
crossencoder,new_aep_wf_scrap,deberta-v3-large,t3,4,0.0006,2,3
crossencoder,new_aep_wf_scrap,deberta-v3-large,t4,2,-0.0004,4,4
crossencoder,new_aep_wf_scrap,deberta-v3-large,t5,3,0.0003,3,5
crossencoder,new_aep_wf_scrap,deberta-v3-large,t6,1,-0.0005,5,6
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t1,5,1.377,1,1
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t2,0,-1.2715,6,2
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t3,4,0.6494,2,3
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t4,2,-0.0342,4,4
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t5,3,-0.1504,3,5
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,t6,1,-0.5703,5,6
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t1,3,0.0684,3,1
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t2,5,0.2813,1,2
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t3,4,0.2207,2,3
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t4,2,-0.0176,4,4
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t5,0,-0.5117,6,5
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t6,1,-0.041,5,6
crossencoder,new_aep_wf_scrap,e5-large-v2,t1,5,0.0,1,1
crossencoder,new_aep_wf_scrap,e5-large-v2,t2,4,0.0,2,2
crossencoder,new_aep_wf_scrap,e5-large-v2,t3,3,0.0,3,3
crossencoder,new_aep_wf_scrap,e5-large-v2,t4,2,0.0,4,4
crossencoder,new_aep_wf_scrap,e5-large-v2,t5,1,0.0,5,5
crossencoder,new_aep_wf_scrap,e5-large-v2,t6,0,0.0,6,6
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t1,5,0.793,1,1
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t2,4,0.3359,2,2
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t3,3,-0.0293,3,3
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t4,2,-0.0801,4,4
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t5,1,-0.3379,5,5
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,t6,0,-0.6816,6,6
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t1,5,0.0,1,1
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t2,3,0.002,3,2
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t3,4,0.002,2,3
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t4,2,-0.002,4,4
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t5,1,-0.002,5,5
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,t6,0,0.0,6,6
crossencoder,new_ajo_workflows,deberta-v3-large,t1,1,-0.0001,6,1
crossencoder,new_ajo_workflows,deberta-v3-large,t2,2,0.0,4,2
crossencoder,new_ajo_workflows,deberta-v3-large,t3,4,0.0003,1,3
crossencoder,new_ajo_workflows,deberta-v3-large,t4,3,0.0,2,4
crossencoder,new_ajo_workflows,deberta-v3-large,t5,2,-0.0002,5,5
crossencoder,new_ajo_workflows,deberta-v3-large,t6,3,-0.0,3,6
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t1,3,0.5078,4,1
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t2,5,3.5017,1,2
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t3,3,1.1816,2,3
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t4,1,-3.0222,5,4
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t5,0,-2.751,6,5
crossencoder,new_ajo_workflows,all-mpnet-base-v2,t6,3,0.582,3,6
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t1,3,0.0938,3,1
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t2,5,0.2539,1,2
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t3,4,0.3086,2,3
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t4,2,0.0879,4,4
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t5,0,-0.332,6,5
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,t6,1,-0.4121,5,6
crossencoder,new_ajo_workflows,e5-large-v2,t1,5,0.0,1,1
crossencoder,new_ajo_workflows,e5-large-v2,t2,4,0.0,2,2
crossencoder,new_ajo_workflows,e5-large-v2,t3,3,0.0,3,3
crossencoder,new_ajo_workflows,e5-large-v2,t4,2,0.0,4,4
crossencoder,new_ajo_workflows,e5-large-v2,t5,1,0.0,5,5
crossencoder,new_ajo_workflows,e5-large-v2,t6,0,0.0,6,6
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t1,5,0.3906,1,1
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t2,1,-0.25,5,2
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t3,3,0.1953,3,3
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t4,0,-0.4258,6,4
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t5,2,-0.2148,4,5
crossencoder,new_ajo_workflows,bge-base-en-v1.5,t6,4,0.3047,2,6
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t1,2,-0.418,4,1
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t2,1,-0.25,5,2
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t3,5,0.8867,1,3
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t4,1,-0.3789,6,4
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t5,3,0.0352,3,5
crossencoder,new_ajo_workflows,bge-large-en-v1.5,t6,3,0.125,2,6
